rank_test_f1,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_train_accuracy,std_train_accuracy,mean_train_f1,std_train_f1,mean_train_recall,std_train_recall,mean_train_precision,std_train_precision,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_f1,std_test_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_test_precision,std_test_precision,rank_test_precision
33,0.06963567733764649,0.007265793281493625,0.012100553512573243,0.0033726356011992056,"{'LR__C': 0.010620435784463611, 'LR__class_weight': 'balanced'}",0.8629824870397371,0.0025874978787645236,0.5941107764338635,0.005772232512589574,0.8787234042553191,0.00463712653568155,0.4487679489321824,0.005406168020967523,0.8623434193384855,0.008919625978532445,85,0.5911283433109391,0.017150217219206818,0.8712765957446809,0.03162993350493298,33,0.44771561468045273,0.017232985309014577,85
34,0.07013368606567383,0.008782890236578784,0.01280522346496582,0.002830060474212296,"{'LR__C': 0.008649901040014913, 'LR__class_weight': 'balanced'}",0.8628307603899096,0.002737511675189457,0.5934825347175284,0.006040107014923814,0.8773936170212766,0.0045602202658197605,0.4483992177093543,0.005711923209665485,0.8613725455520775,0.008742305173697826,86,0.5884910389950105,0.0178254322450488,0.8680851063829789,0.033540176107307314,34,0.44551508588209154,0.01708842640906651,86
35,0.07484354972839355,0.006363486306071194,0.012218236923217773,0.0009625651417500619,"{'LR__C': 0.007037117215150004, 'LR__class_weight': 'balanced'}",0.8623755804404267,0.0023641098358006896,0.591501137525346,0.005188960221073483,0.8731382978723404,0.00399821712190771,0.4472478287966851,0.00494094199233858,0.8605228099339193,0.008858051741680594,88,0.5854502897469669,0.019512132055316427,0.8627659574468085,0.03841589379844212,35,0.4434591077220503,0.017571492659389648,87
36,0.0692215919494629,0.006078485276609626,0.01595592498779297,0.0032732962568687786,"{'LR__C': 0.006669155943954626, 'LR__class_weight': 'balanced'}",0.8622238261629127,0.0023612840578517437,0.5910122059506191,0.005361940994345536,0.8723404255319149,0.004606518105236394,0.4468966867611613,0.004963209215806811,0.8605228836189365,0.008395661434150284,87,0.5854121552893802,0.018677788566288902,0.8627659574468085,0.03841589379844212,35,0.44340306015405045,0.016605290835331132,88
37,0.05846552848815918,0.006698018375400946,0.011113262176513672,0.0028129660092114767,"{'LR__C': 0.005239305940884763, 'LR__class_weight': 'balanced'}",0.8616775623355434,0.0025954583685518476,0.5896918916024925,0.005785893639808578,0.8710106382978724,0.004529092118597435,0.44573746750365667,0.005423208112715504,0.8604013770256012,0.008780214564311245,89,0.5846334132348205,0.019096657228157465,0.8606382978723403,0.03856291268168479,37,0.4431039448154627,0.0173284991655989,89
38,0.052975130081176755,0.010061959384329695,0.011009883880615235,0.0024120331460985027,"{'LR__C': 0.005130307131578695, 'LR__class_weight': 'balanced'}",0.8616168550990004,0.0026110171316176723,0.5893650104219738,0.005710706953343311,0.8702127659574469,0.0043376346889095856,0.4455742162476028,0.005426831506760252,0.8604013770256012,0.008780214564311245,89,0.5843458074175859,0.018715043413991085,0.8595744680851063,0.03800121510530158,38,0.44306585683222144,0.017277624354192368,90
39,0.04086823463439941,0.00486685435106988,0.015831565856933592,0.005952174132978172,"{'LR__C': 0.0031452907265439984, 'LR__class_weight': 'balanced'}",0.8602512507859501,0.0029481306467741566,0.5843037190315343,0.006887711267690513,0.8606382978723405,0.006696637400007536,0.44230020701542416,0.006210512286074728,0.8590659097741703,0.010249794275776325,91,0.5790689775769535,0.022841495423684764,0.848936170212766,0.0410092239731838,40,0.43986972036988803,0.020687100988235427,91
40,0.06625332832336425,0.008425430613453525,0.014303112030029297,0.004203326093827647,"{'LR__C': 0.0027089335382138404, 'LR__class_weight': 'balanced'}",0.8593104820133399,0.0027182463165630823,0.5811638039162145,0.006025611809250079,0.8553191489361703,0.005003959500592208,0.44010790868327965,0.005658776922006679,0.858823043957534,0.009968083781961398,92,0.5789386619844044,0.022097710015836238,0.85,0.040565268010505584,39,0.43943260284067015,0.02010455405055915,92
41,0.04991908073425293,0.008720655990230381,0.010671424865722656,0.0016414278011614048,"{'LR__C': 0.0023601383855354056, 'LR__class_weight': 'balanced'}",0.8587642412090428,0.002781526644553156,0.5794669091492616,0.0056089911556405705,0.8526595744680853,0.0037043585843574782,0.4388716607822959,0.005641924703920085,0.8577308109478251,0.008935229570514729,93,0.5760631114900425,0.019770198823198904,0.8468085106382979,0.03971947809062654,41,0.4369502453710673,0.017856208314074966,93
42,0.0494844913482666,0.004016617699171621,0.011411619186401368,0.002521433498010991,"{'LR__C': 0.001691497725623226, 'LR__class_weight': 'balanced'}",0.856245521724686,0.0029770027868398514,0.5722405599133825,0.00623265153003939,0.8425531914893616,0.004337634688909575,0.4332581924752034,0.0060864767993733145,0.8557890633750096,0.007472507358527195,94,0.5701197757860033,0.018436799747637195,0.8382978723404255,0.04128427215304737,42,0.4323154050269434,0.015042510705095248,94
